Designator,Mid X,Mid Y,Rotation,Layer
_3,170.0,-125.0,0.0,top
_2,80.0,-70.0,0.0,top
,170.0,-70.0,0.0,top
A1,149.115,-93.575,270.0,top
C1,166.05,-108.5,0.0,top
C10,145.0,-116.05,90.0,top
C2,170.45,-108.5,180.0,top
C3,111.05,-106.5,180.0,top
C4,94.5,-106.5,0.0,top
C5,117.0,-125.0,0.0,top
C6,117.0,-121.0,0.0,top
C7,114.5,-83.05,270.0,top
C8,117.5,-71.55,270.0,top
C9,144.0,-122.05,90.0,top
J1,84.0,-83.92,0.0,top
J2,84.0,-109.42,0.0,top
J3,167.73,-114.5,90.0,top
J4,142.49,-109.5,270.0,top
Q1,95.475,-75.0,180.0,top
Q10,129.5625,-120.0,180.0,top
Q11,134.5625,-120.0,180.0,top
Q12,140.0,-120.0,180.0,top
Q13,96.375,-120.05,180.0,top
Q14,101.9375,-120.05,180.0,top
Q15,106.9375,-120.05,180.0,top
Q16,112.4375,-120.05,180.0,top
Q2,100.9125,-75.0,180.0,top
Q3,106.4125,-75.0,180.0,top
Q4,111.475,-75.0,180.0,top
Q5,95.9375,-93.95,180.0,top
Q6,101.4375,-93.95,180.0,top
Q7,106.875,-93.95,180.0,top
Q8,111.875,-93.95,180.0,top
Q9,124.0625,-120.0,180.0,top
R1,95.4125,-80.5,0.0,top
R10,95.4375,-99.4,0.0,top
R11,100.9375,-88.4,0.0,top
R12,101.4375,-99.4,0.0,top
R13,106.4375,-88.4,0.0,top
R14,106.4375,-99.4,0.0,top
R15,111.35,-88.4,0.0,top
R16,111.35,-99.4,0.0,top
R17,123.5875,-114.5,0.0,top
R18,123.9125,-125.0,0.0,top
R19,129.15,-114.5,0.0,top
R2,95.4125,-70.5,0.0,top
R20,129.15,-125.0,0.0,top
R21,134.65,-114.5,0.0,top
R22,134.15,-125.0,0.0,top
R23,139.65,-114.5,0.0,top
R24,139.65,-125.0,0.0,top
R25,112.0875,-114.5,0.0,top
R26,112.0875,-125.0,0.0,top
R27,106.5875,-114.5,0.0,top
R28,106.5875,-125.0,0.0,top
R29,101.5875,-114.5,0.0,top
R3,100.5,-70.5,0.0,top
R30,101.5875,-125.0,0.0,top
R31,96.0875,-114.5,0.0,top
R32,96.0875,-125.0,0.0,top
R4,100.5,-80.5,0.0,top
R5,106.4125,-70.5,0.0,top
R6,105.9125,-80.5,0.0,top
R7,111.9125,-70.5,0.0,top
R8,111.4125,-80.5,0.0,top
R9,95.525,-88.4,0.0,top
